auditory_auditory_ABS,auditory_cingulooper_ABS,auditory_cinguloparietal_ABS,auditory_DAN_ABS,auditory_DMN_ABS,auditory_EXE_ABS,auditory_retrospenialtemporal_ABS,auditory_salience_ABS,auditory_sensorymotorhand_ABS,auditory_sensorymotormouth_ABS,auditory_VAN_ABS,auditory_VIS_ABS,cingulooper_cingulooper_ABS,cingulooper_cinguloparietal_ABS,cingulooper_DAN_ABS,cingulooper_DMN_ABS,cingulooper_EXE_ABS,cingulooper_retrospenialtemporal_ABS,cingulooper_salience_ABS,cingulooper_sensorymotorhand_ABS,cingulooper_sensorymotormouth_ABS,cingulooper_VAN_ABS,cingulooper_VIS_ABS,cinguloparietal_cinguloparietal_ABS,cinguloparietal_DAN_ABS,cinguloparietal_DMN_ABS,cinguloparietal_EXE_ABS,cinguloparietal_retrospenialtemporal_ABS,cinguloparietal_salience_ABS,cinguloparietal_sensorymotorhand_ABS,cinguloparietal_sensorymotormouth_ABS,cinguloparietal_VAN_ABS,cinguloparietal_VIS_ABS,DAN_DAN_ABS,DAN_DMN_ABS,DAN_EXE_ABS,DAN_retrospenialtemporal_ABS,DAN_salience_ABS,DAN_sensorymotorhand_ABS,DAN_sensorymotormouth_ABS,DAN_VAN_ABS,DAN_VIS_ABS,DMN_DMN_ABS,DMN_EXE_ABS,DMN_retrospenialtemporal_ABS,DMN_salience_ABS,DMN_sensorymotorhand_ABS,DMN_sensorymotormouth_ABS,DMN_VAN_ABS,DMN_VIS_ABS,EXE_EXE_ABS,EXE_retrospenialtemporal_ABS,EXE_salience_ABS,EXE_sensorymotorhand_ABS,EXE_sensorymotormouth_ABS,EXE_VAN_ABS,EXE_VIS_ABS,retrospenialtemporal_retrospenialtemporal_ABS,retrospenialtemporal_salience_ABS,retrospenialtemporal_sensorymotorhand_ABS,retrospenialtemporal_sensorymotormouth_ABS,retrospenialtemporal_VAN_ABS,retrospenialtemporal_VIS_ABS,salience_salience_ABS,salience_sensorymotorhand_ABS,salience_sensorymotormouth_ABS,salience_VAN_ABS,salience_VIS_ABS,sensorymotorhand_sensorymotorhand_ABS,sensorymotorhand_sensorymotormouth_ABS,sensorymotorhand_VAN_ABS,sensorymotorhand_VIS_ABS,sensorymotormouth_sensorymotormouth_ABS,sensorymotormouth_VAN_ABS,sensorymotormouth_VIS_ABS,VAN_VAN_ABS,VAN_VIS_ABS,VAN_VIS_ABS.1
0.38056208,0.24067317,0.14821719,0.01550522,0.01755645,0.02291259,0.08581052,0.08302678,0.19764076,0.19064296,0.14369039,0.17338392,0.35724036,0.08013194,0.10622424,0.11624964,0.00327918,0.18861909,0.14023606,0.16261453,0.12051335,0.13568194,0.09690862,0.85238275,0.02460043,0.01533519,0.0107325,0.25995688,0.06103236,0.16312577,0.26395766,0.17718667,0.14536675,0.2751025,0.16012013,0.1407506,0.05755452,0.20512533,0.07874437,0.06134199,0.09248996,0.20080598,0.28802433,0.00839828,0.09081163,0.10196544,0.01338944,0.02224438,0.0148125,0.12165381,0.25833837,0.11483435,0.19840201,0.0607172,0.01021244,0.09543798,0.19060204,0.60906365,0.038927,0.16253505,0.13005883,0.12843405,0.2061215,0.49913085,0.0520305,0.0399994,0.23897422,0.2460308,0.35117295,0.11029303,0.00758014,0.12917567,0.44767326,0.13598832,0.00204665,0.26354854,0.14950389,0.59128611
0.27277128,0.21139502,0.01577691,0.05313842,0.06983176,0.0353651,0.15872067,0.10274695,0.17231687,0.10374801,0.01079641,0.14837779,0.33864824,0.10976893,0.14259131,0.06547951,0.03387579,0.24705063,0.2068212,0.21704994,0.05401151,0.01296676,0.11962239,1.19150468,0.13594147,0.17811889,0.00679178,0.31680203,0.00871697,0.14612923,0.01539358,0.04809419,0.09758926,0.29991504,0.15449105,0.03488926,0.03889287,0.01118112,0.08784654,0.00486793,0.15449057,0.13369643,0.29771917,0.13972904,0.00056725,0.0137968,0.04212005,0.05412058,0.08850232,0.07049997,0.21546578,0.03006792,0.11490405,0.02799083,0.01487177,0.0322653,0.00323433,0.54016703,0.18847813,0.19806151,0.01118934,0.1000638,0.2636079,0.43360086,0.0534749,0.00093059,0.03901876,0.07261028,0.31984911,0.03534645,0.03918382,0.21610246,0.36027405,0.0365878,0.04636006,0.27154861,0.12261714,0.45907964
0.21949426,0.15290945,0.04889588,0.03272064,0.0087624,0.02252769,0.00803383,0.06554256,0.05473832,0.1069265,0.00772658,0.00430661,0.24907423,0.04484816,0.05316572,0.06583566,0.00534501,0.01587823,0.12696374,0.05176715,0.08242322,0.00474785,0.02761747,1.02898302,0.09981136,0.04611537,0.14312504,0.34471738,0.04439037,0.04929461,0.04728649,0.17295189,0.02914953,0.20841295,0.08955783,0.10584427,0.0419682,0.01477018,0.04664862,0.11226671,0.04560309,0.15656932,0.27637118,0.05130898,0.09586645,0.00742497,0.01466728,0.03217236,0.07669331,0.06852148,0.24191808,0.01935137,0.06381385,0.06135366,0.09865016,0.0506785,0.13752319,0.74134285,0.0493251,0.09139746,0.02133133,0.24327845,0.16423385,0.21370815,0.00774935,0.03943299,0.01954324,0.11864477,0.1635183,0.03245417,0.00101425,0.02919486,0.25209345,0.04131185,0.12321307,0.27840163,0.07378318,0.37033645
0.47665078,0.24164433,0.05947503,0.09317313,0.04172099,0.10297814,0.07100297,0.05027157,0.31142827,0.22415069,0.08849266,0.10731268,0.29617264,0.0072123,0.17337714,0.07748498,0.02115536,0.29094731,0.08270778,0.18419844,0.17412575,0.01828044,0.00582262,0.93033583,0.13913409,0.08040877,0.08488405,0.08823971,0.06094221,0.00871259,0.10711676,0.0145205,0.04495017,0.34683183,0.13222222,0.10166678,0.2446964,0.13593258,0.11179982,0.13194413,0.0725569,0.18074687,0.25973367,0.14357661,0.18093904,0.04763519,0.02759939,0.00274608,0.06977527,0.01162133,0.30130979,0.11550633,0.09189731,0.13497254,0.07720894,0.02096125,0.14636096,0.87305715,0.05460128,0.09472333,0.16812058,0.01342631,0.05959617,0.32176174,0.08067254,0.01965477,0.07290032,0.08451285,0.53360993,0.23750562,0.00868998,0.1159074,0.39241345,0.0537521,0.01335825,0.18307908,0.04316308,0.47057601
0.29376874,0.19814296,0.08307337,0.10093762,0.01214596,0.03273443,0.1019295,0.02306375,0.14191758,0.27732166,0.06702417,0.02699655,0.38438874,0.02335552,0.22226734,0.16193202,0.08637602,0.15205751,0.17555537,0.15971917,0.18003154,0.02357806,0.10237769,0.92747478,0.01232123,0.10111595,0.0399808,0.17973189,0.15088354,0.10139225,0.12340642,0.20730519,0.11021321,0.2578866,0.18264804,0.0384744,0.15317798,0.05100567,0.07186884,0.08993734,0.03863203,0.16696896,0.29139177,0.09015542,0.08695497,0.05759555,0.02812702,0.04326571,0.09161449,0.06567661,0.3542656,0.10381074,0.02809863,0.08904989,0.06872582,0.01073232,0.12967669,0.43429076,0.05069084,0.04612544,0.09732308,0.09935797,0.0036167,0.32554731,0.03214814,0.00915749,0.01101397,0.05481304,0.29107957,0.11476707,0.0030225,0.03785156,0.63080899,0.08177196,0.00529438,0.19405813,0.06444445,0.40336481
0.18683965,0.07625967,0.01101769,0.02693704,0.03885826,0.06646087,0.07525663,0.07277759,0.03063507,0.09350337,0.0043497,0.00867397,0.25335311,0.1271146,0.13720971,0.08758531,0.03460657,0.12453604,0.13919396,0.07015721,0.04655203,0.0122448,0.00480199,1.02671046,0.05715146,0.01203143,0.08240408,0.03325591,0.27990662,0.14224425,0.20224186,0.00624221,0.01755372,0.26688038,0.14883238,0.07774802,0.04311399,0.08044855,0.01254524,0.09120831,0.16986165,0.18004306,0.33647217,0.04515311,0.02544012,0.06497006,0.06925556,0.0112106,0.16145771,0.02744806,0.23768038,0.07711847,0.14239099,0.0223341,0.03316203,0.02173116,0.18542213,0.46325089,0.14488321,0.03961246,0.07023481,0.08861582,0.18763074,0.3825171,0.04773304,0.01945223,0.0123759,0.09801652,0.21758774,0.09342412,0.01452396,0.08626399,0.41357863,0.0186069,0.04360264,0.29786471,0.14831686,0.49849912
0.4236541,0.23108194,0.10963119,0.16262627,0.06337085,0.06587618,0.16910581,0.04867984,0.39960101,0.43538967,0.07446819,0.04817775,0.3191164,0.00182017,0.15240053,0.12013435,0.00990747,0.10023641,0.03266442,0.23091414,0.24099047,0.0353923,0.02335353,1.09353162,0.02181694,0.06277822,0.09643699,0.03243015,0.18701316,0.02427714,0.0965241,0.15629425,0.02259044,0.22877834,0.138838,0.01620773,0.0854593,0.09163395,0.15950592,0.17591022,0.04584187,0.08616762,0.37809873,0.17091004,0.15391118,0.00161528,0.08742667,0.02667932,0.06911349,0.06718953,0.25165236,0.12325344,0.03177914,0.0882539,0.13854575,0.02461445,0.11136095,0.6379159,0.03810947,0.22991695,0.14417013,0.07765745,0.24063917,0.26219443,0.00576505,0.0238763,0.044504,0.04944176,0.62242162,0.50963168,0.03811639,0.07268272,0.78645792,0.0337227,0.00617392,0.18500167,0.06103177,0.3121479
0.24395597,0.06551871,0.00943499,0.00846911,0.01747351,0.01367685,0.00145729,0.01518391,0.02725062,0.04186442,0.05804781,0.09239568,0.23347617,0.02773559,0.05766767,0.0917551,0.02443553,0.06451908,0.18933437,0.03862557,0.02870415,0.05291971,0.03212666,0.90744022,0.04559155,0.02458382,0.0244054,0.15968768,0.0954647,0.12127763,0.12137232,0.12787084,0.14409733,0.2276328,0.16224543,0.04201381,0.0253122,0.05912001,0.044569,0.02888452,0.00104179,0.10751227,0.27056315,0.14045247,0.06718133,0.00688525,0.02828237,0.05406647,0.00057719,0.07734456,0.22885605,0.04494196,0.04419253,0.0457843,0.01555886,0.06309458,0.02363168,0.49833865,0.07785743,0.00900506,0.0921625,0.08717344,0.11535649,0.53965225,0.14273047,0.00501032,0.117073,0.03822066,0.23468257,0.03171625,0.0049223,0.11009326,0.36285933,0.05611847,0.01103179,0.19859063,0.05845428,0.36997814
0.38134492,0.12205993,0.2469426,0.08486556,0.08402629,0.06521311,0.04774008,0.06027325,0.24805521,0.3246447,0.14655817,0.01665355,0.35595785,0.03910262,0.15525258,0.11179976,0.04248507,0.10326857,0.08523545,0.07939619,0.02007141,0.01145033,0.0248556,1.00247652,0.06370538,0.07517584,0.08188386,0.08345314,0.12172794,0.16347416,0.2090053,0.24403411,0.09822987,0.29739031,0.15178866,0.11505903,0.01019866,0.12219069,0.0793604,0.01135208,0.04194873,0.26632788,0.32279273,0.04094453,0.01523836,0.01720262,0.04071297,0.10910354,0.10765655,0.07304997,0.22458356,0.05721592,0.09671694,0.1147022,0.0911912,0.00555764,0.16166453,0.6202411,0.08120393,0.03114429,0.02178843,0.106514,0.10873686,0.15955011,0.09398505,0.08427153,0.02262588,0.15412795,0.44555436,0.38402604,0.07060348,0.05058219,0.6900664,0.10569197,0.02356683,0.25657289,0.03552873,0.46058283
0.27599046,0.20203533,0.02125954,0.05066774,0.00885694,0.02835155,0.09998323,0.10042212,0.17009951,0.1926783,0.00226739,0.10105586,0.36653174,0.02438009,0.16484907,0.09839676,0.11513485,0.0884907,0.16746033,0.11552967,0.18773705,0.03093464,0.01953475,0.78825883,0.11076051,0.09121986,0.01963763,0.14661976,0.04207303,0.09212826,0.1321098,0.01167084,0.06880328,0.28181413,0.16618945,0.09385951,0.01629545,0.03997339,0.04992191,0.13920731,0.14411079,0.16470861,0.27421962,0.00298558,0.08374027,0.04398686,0.01075651,0.00950791,0.10628998,0.04167934,0.24811583,0.12932372,0.06181282,0.02463934,0.10639221,0.03744681,0.1679976,0.56884266,0.21471149,0.09816268,0.13383497,0.08075533,0.15958048,0.32836925,0.0023247,0.0471955,0.1424936,0.06093871,0.29793118,0.12558222,0.08372818,0.10149041,0.3316983,0.05498359,0.06348281,0.26875173,0.10085485,0.44976548
