src_subject_id,FA_cingulatecingulum_R,FA_CinguluteCingulum_L,FA_corpuscallosum,FA_Corticospinal_L,FA_Corticospinal_R,FA_forecepsmajor,FA_forecepsminor,FA_Fornix_L,FA_Fornix_R,FA_IFC_SupFrontal_L,FA_IFC_SupFrontal_R,FA_inferiorfrontooccipitalfasiculus_L,FA_inferiorfrontooccipitalfasiculus_R,FA_inferiorlongfascic_L,FA_inferiorlongfascic_R,FA_ParahippocampalCingulum_L,FA_ParahippocampalCingulum_R,FA_parietalSLF_L,FA_parietalSLF_R,FA_temporalSLF_L,FA_temporalSLF_R,FA_striatal_IFC_L,FA_striatal_IFC_R,FA_superiorcorticalstriate_Frontal_L,FA_superiorcorticalstriate_Frontal_R,FA_superiorcorticalstriate_Parietal_L,FA_superiorcorticalstriate_Parietal_R,FA_ThalamicRadiations_R,FA_thalamicradiations_L,FA_uncinate_L,FA_uncinate_R
NDAR_INVV2J19CN2,0.50235318,0.53179709,0.60996223,0.63323473,0.62070447,0.653776,0.57983285,0.37979946,0.38660604,0.4922764,0.47655482,0.52794564,0.49858019,0.52327165,0.49389166,0.41004475,0.35636045,0.52140757,0.50971938,0.54616428,0.53663547,0.4083644,0.41098669,0.48112867,0.49709202,0.52525941,0.55063821,0.41616222,0.45370061,0.45676403,0.43240154
NDAR_INVV2ZZ7DMV,0.39132385,0.45782151,0.53335685,0.54192735,0.54399189,0.5942809,0.45006754,0.35294726,0.34716289,0.38713548,0.41160753,0.43405387,0.41240113,0.41561638,0.43622468,0.23114079,0.2689809,0.4416848,0.44374455,0.4682906,0.46598383,0.36526606,0.31911921,0.37677377,0.43139927,0.43322583,0.47394614,0.33145512,0.3667942,0.40762613,0.37707186
NDAR_INVV381L7JK,0.50085688,0.57961576,0.60391324,0.60532448,0.61478151,0.6716769,0.55801116,0.37534807,0.40884388,0.48170501,0.48005739,0.52876696,0.5059923,0.50028661,0.51443518,0.41421805,0.36499998,0.51878426,0.50246875,0.53730842,0.51484756,0.44886655,0.41436077,0.43735786,0.47763052,0.50113651,0.51927273,0.41640451,0.47188683,0.49951723,0.4510388
NDAR_INVV394F6F7,0.40510706,0.51961289,0.56546784,0.60760542,0.61335599,0.57245469,0.50905578,0.38735178,0.40408752,0.4885003,0.4754978,0.49851413,0.48673584,0.5006066,0.48166422,0.37708245,0.39776697,0.48358815,0.49047671,0.51490265,0.52175166,0.40075102,0.37029294,0.46290094,0.49128674,0.48688521,0.50018351,0.35295029,0.3947762,0.468273,0.4337887
NDAR_INVV3Z0YVUT,0.49122651,0.5996879,0.61733903,0.59502866,0.59067692,0.65841276,0.5676215,0.36389782,0.38297776,0.47806905,0.48251889,0.51383764,0.52203808,0.47309609,0.49193513,0.39945182,0.41172877,0.5216706,0.52490426,0.55693839,0.53799311,0.46329734,0.42794098,0.45948389,0.45930185,0.45942446,0.49614908,0.39421132,0.41872145,0.47411792,0.44153557
NDAR_INVV4V8B9K8,0.45466836,0.49603001,0.56963287,0.58750012,0.57781895,0.63484928,0.51375128,0.36320954,0.3842678,0.44211664,0.40602579,0.49341764,0.46456423,0.44197599,0.44527319,0.32454041,0.31057072,0.45054042,0.45787934,0.48860869,0.49377633,0.39065507,0.37620835,0.4304237,0.40574041,0.43843093,0.41776997,0.39236019,0.37562456,0.43918843,0.4142869
NDAR_INVV4XY140Z,0.49870019,0.5378992,0.59249445,0.53805092,0.55863072,0.64831713,0.51294524,0.3815391,0.37976261,0.46085435,0.46226312,0.51288173,0.47661703,0.48494672,0.46819272,0.39473313,0.37407703,0.5002869,0.52023103,0.54129768,0.52196852,0.44398674,0.39154674,0.38620771,0.38855033,0.41801859,0.44598778,0.39528696,0.42104064,0.47124617,0.43693183
NDAR_INVV4Y9RJA1,0.39595774,0.52091874,0.59337361,0.60113159,0.5990323,0.6267768,0.53220198,0.40827667,0.41024306,0.42630855,0.43350925,0.49520969,0.49124791,0.47336954,0.4727853,0.40767961,0.40280084,0.45323538,0.4559113,0.49768592,0.46661543,0.40121132,0.37950678,0.42515657,0.43719866,0.46458436,0.49712873,0.38575249,0.41157997,0.45281918,0.415178
NDAR_INVV4ZYD9PL,0.50830873,0.54505337,0.61139058,0.60535356,0.61379629,0.66819406,0.54547394,0.41628148,0.41736307,0.49309389,0.48639337,0.5083287,0.49419101,0.51567192,0.49083902,0.37859296,0.37875509,0.48878018,0.46616487,0.51981865,0.46842252,0.45388093,0.41456902,0.47505724,0.46724639,0.50877448,0.52708591,0.44422867,0.46332034,0.47259175,0.41279301
NDAR_INVV50A837R,0.48507328,0.51421643,0.57460533,0.59239079,0.60965484,0.60416184,0.49366587,0.39177686,0.41028901,0.47599534,0.46596728,0.50605519,0.49370415,0.46871921,0.47400749,0.3996163,0.37602925,0.46325723,0.48743204,0.52328855,0.51341825,0.40046637,0.39153329,0.44480962,0.46118623,0.45453077,0.49973842,0.38879333,0.3870166,0.43613494,0.4324212
NDAR_INVV53R103B,0.5120869,0.56033348,0.59656872,0.62647317,0.61447575,0.6020757,0.57015972,0.41344561,0.41288852,0.437152,0.45173544,0.49424147,0.48134314,0.4493179,0.47699062,0.34332336,0.36708226,0.48703635,0.49844085,0.52533773,0.49547228,0.41420932,0.38880584,0.4398144,0.46135902,0.46639718,0.49922643,0.3806062,0.42598876,0.48283079,0.44762878
NDAR_INVV5TKBR0Y,0.45663771,0.52357035,0.61255612,0.64363402,0.65543251,0.67937322,0.56065661,0.38430853,0.37074506,0.49775787,0.49882284,0.53731977,0.50855928,0.54091224,0.49639583,0.37342163,0.37259781,0.51646061,0.51819135,0.57000131,0.53160447,0.41209983,0.37477051,0.47376042,0.50564516,0.52214752,0.54406862,0.42705088,0.45068613,0.4673235,0.45626499
NDAR_INVV5X50ZMM,0.53647408,0.56310756,0.60130247,0.60298526,0.58889252,0.64312438,0.57432757,0.41749429,0.40225213,0.47718768,0.47689047,0.55338456,0.54802699,0.49671311,0.4810867,0.38790784,0.40692589,0.5333678,0.58284628,0.57154435,0.58402056,0.45081652,0.43732055,0.45465274,0.43963644,0.4821348,0.50049487,0.44359516,0.44851437,0.4917649,0.48540698
NDAR_INVV5YL6694,0.51111606,0.52600795,0.58921337,0.59073787,0.57632769,0.61101192,0.50302235,0.39941275,0.41396793,0.45709626,0.45001833,0.50966609,0.52302592,0.49442298,0.4895055,0.41168415,0.40614338,0.52328402,0.53835659,0.55470536,0.549928,0.42241273,0.42504697,0.43953335,0.44029595,0.50634476,0.49016625,0.3997318,0.41225873,0.43949983,0.45487408
NDAR_INVV6CX3VRR,0.44748999,0.5071191,0.52337351,0.58165166,0.57902152,0.58746532,0.42941657,0.38937668,0.39066863,0.4172339,0.42112227,0.47182905,0.47094583,0.46234264,0.46379914,0.37533084,0.35277978,0.44959638,0.45077108,0.48729934,0.46730991,0.36246453,0.3326366,0.43407233,0.44708225,0.46654596,0.48701852,0.35168434,0.38269107,0.43603032,0.40428
NDAR_INVV6KTVCZH,0.40250111,0.43732828,0.57060825,0.5956338,0.61585096,0.60888605,0.52113736,0.34814236,0.37728113,0.4619869,0.45008516,0.45669433,0.4573507,0.45929304,0.45979248,0.33550063,0.28939394,0.4495682,0.45072778,0.47289963,0.4875757,0.40225991,0.37470218,0.45974701,0.47015214,0.46873403,0.49060414,0.37365735,0.38676776,0.40917857,0.40008628
NDAR_INVV6NAXTR2,0.35635006,0.38260987,0.47616123,0.48391106,0.474508,0.50059878,0.42775485,0.29936745,0.30137575,0.36435056,0.36241485,0.36644787,0.37893804,0.36163526,0.37630021,0.24671529,0.22266489,0.38482558,0.37825053,0.39959282,0.39770332,0.31331932,0.28469367,0.35783733,0.34523781,0.38081398,0.36532999,0.30349971,0.31101627,0.32646352,0.29190246
NDAR_INVV6PC2WV9,0.51961291,0.56976283,0.63084217,0.5946654,0.59866526,0.69894931,0.56533667,0.40842402,0.424607,0.48529393,0.49178032,0.53103046,0.51028297,0.53111917,0.51793953,0.39946804,0.3640783,0.48871234,0.50620326,0.54191676,0.52791789,0.43548664,0.40195634,0.44580622,0.47476696,0.48804955,0.51087467,0.40559203,0.41908786,0.46638044,0.45979074
NDAR_INVV72RAPTJ,0.44615007,0.46301259,0.57096694,0.61663554,0.6143711,0.62202942,0.48741067,0.35598231,0.38538183,0.42743981,0.43122405,0.49090278,0.48202168,0.4665004,0.46845421,0.36205875,0.36410702,0.48075946,0.48661098,0.52233901,0.49728146,0.37813208,0.35995028,0.44469711,0.46795666,0.47868192,0.50854779,0.3543193,0.37158997,0.44917738,0.41776069
NDAR_INVV7D70A79,0.42907533,0.49026881,0.58888362,0.6057894,0.60536657,0.64241036,0.52992195,0.39331484,0.3790065,0.44890797,0.45426669,0.53181604,0.52013733,0.45726268,0.48632583,0.35027237,0.35059958,0.48282684,0.49726864,0.5092339,0.5166669,0.42351517,0.38126271,0.43558115,0.45733941,0.4741355,0.49677551,0.39245048,0.40447396,0.43952673,0.43905293
NDAR_INVV7J7HV7U,0.35599256,0.41798855,0.51181343,0.55032846,0.55032513,0.5540836,0.4733314,0.28833692,0.27847653,0.39901074,0.40254455,0.43893602,0.43014583,0.41828741,0.41713183,0.28289465,0.26658151,0.4178782,0.42097536,0.45683803,0.44183609,0.36364074,0.32647188,0.38154364,0.39394852,0.3966572,0.38979664,0.34681442,0.36289483,0.40322094,0.3754331
NDAR_INVV7KNVTFG,0.41414009,0.51417606,0.58584355,0.64958933,0.61729501,0.62437644,0.53805188,0.36904679,0.39598108,0.4711081,0.46797662,0.49094886,0.48281588,0.46590416,0.50628713,0.38018979,0.37184788,0.4869282,0.4905911,0.51577859,0.51031703,0.43952821,0.39970525,0.50621151,0.47700726,0.51630909,0.50614928,0.35509677,0.40429353,0.47184432,0.45121905
NDAR_INVV7LAD2MF,0.48251505,0.43147908,0.58453126,0.60797541,0.61223083,0.61974436,0.52980493,0.38686591,0.4199621,0.46389656,0.44265078,0.52770039,0.53549642,0.51841623,0.5367091,0.39516401,0.41374086,0.49416023,0.51123548,0.52796874,0.51780731,0.45588369,0.42253079,0.46402124,0.47189268,0.5067247,0.53491214,0.43157492,0.42436475,0.4997216,0.46441101
NDAR_INVV7PYJ52J,0.4336532,0.48501712,0.57085749,0.56644888,0.5781026,0.64395874,0.46864295,0.3685434,0.38525142,0.4492734,0.43645137,0.52433641,0.49991805,0.49582826,0.5118844,0.3833047,0.34870229,0.46435706,0.46577711,0.49321119,0.47336519,0.4149849,0.37503184,0.43119114,0.45316662,0.4771176,0.50851772,0.38163398,0.39833931,0.44954563,0.44333521
