src_subject_id,yr2_FA_left anterior thalamic radiations_sexsite,yr2_FA_right anterior thalamic radiations_sexsite,yr2_FA_corpus callosum_sexsite,yr2_FA_left cingulate cingulum_sexsite,yr2_FA_right cingulate cingulum_sexsite,yr2_FA_left parahippocampal cingulum_sexsite,yr2_FA_right parahippocampal cingulum_sexsite,yr2_FA_left corticospinal/pyramidal_sexsite,yr2_FA_right corticospinal/pyramidal_sexsite,yr2_FA_foreceps major_sexsite,yr2_FA_foreceps minor_sexsite,yr2_FA_left superior corticostriate-frontal cortex only_sexsite,yr2_FA_right superior corticostriate-frontal cortex only_sexsite,"yr2_FA_left fornix, excluding fimbria_sexsite","yr2_FA_right fornix, excluding fimbria_sexsite",yr2_FA_left fornix_sexsite,yr2_FA_right fornix_sexsite,yr2_FA_left inferior-fronto-occipital fasiculus_sexsite,yr2_FA_right inferior-fronto-occipital fasiculus_sexsite,yr2_FA_left inferior frontal superior frontal cortex_sexsite,yr2_FA_right inferior frontal superior frontal cortex_sexsite,yr2_FA_left inferior longitudinal fasiculus_sexsite,yr2_FA_right inferior longitudinal fasiculus_sexsite,yr2_FA_left superior corticostriate-parietal cortex only_sexsite,yr2_FA_right superior corticostriate-parietal cortex only_sexsite,yr2_FA_left parietal superior longitudinal fasiculus_sexsite,yr2_FA_right parietal superior longitudinal fasiculus_sexsite,yr2_FA_left superior corticostriate_sexsite,yr2_FA_right superior corticostriate_sexsite,yr2_FA_left striatal inferior frontal cortex_sexsite,yr2_FA_right striatal inferior frontal cortex_sexsite,yr2_FA_left superior longitudinal fasiculus_sexsite,yr2_FA_right superior longitudinal fasiculus_sexsite,yr2_FA_left temporal superior longitudinal fasiculus_sexsite,yr2_FA_right temporal superior longitudinal fasiculus_sexsite,yr2_FA_left uncinate_sexsite,yr2_FA_right uncinate_sexsite
NDAR_INVLXEAXZ7M,0.396308122311574,0.384041060797695,0.559069945562995,0.448365493113556,0.442854655756732,0.326133501781869,0.367799656720199,0.587435378817302,0.572615558905531,0.6241521211573,0.513372380781681,0.441698046249521,0.430577433356142,0.320884235599599,0.32804253607212,0.344816453988259,0.391670954114465,0.484819480548773,0.475461818353837,0.44473923425919,0.431547934023675,0.469185073264592,0.477781555944982,0.4433700899769,0.466844526207467,0.44570730431188,0.465662332694111,0.430730962618614,0.446819676945121,0.39237164461125,0.365312292921899,0.480069297976388,0.4694644149709,0.496808976465348,0.477895503200124,0.422456730372107,0.431037568963618
NDAR_INVLXG4PFTE,0.36123917339834,0.389105586035532,0.591092094461782,0.448678201694847,0.457762832305434,0.311676521808882,0.350967588853145,0.589871050499559,0.566730514431576,0.676399364470548,0.506935916465224,0.441307214228911,0.415464714012985,0.372356493060905,0.332482856433957,0.387383544376157,0.38853465940564,0.490335514414626,0.467913094199958,0.435965436780168,0.440586885354926,0.491097995695906,0.472881559940877,0.452919883885995,0.458315185518109,0.456872253319858,0.45484902696379,0.43865024668572,0.437617273484517,0.423698052635475,0.392413173648218,0.477349739203058,0.454447093868036,0.490446361812077,0.466107608929021,0.446745581889797,0.413440528546477
NDAR_INVLXWDWVR4,0.383501279431119,0.360025392713766,0.55392013945662,0.418828818339334,0.385705742437462,0.33049269598646,0.364345544235711,0.597739508476941,0.578569995623596,0.617663402144219,0.494073466480939,0.440922956044483,0.423570329960955,0.326895279363702,0.277559201402571,0.375833870249379,0.35718162900833,0.476394072227346,0.462382504439137,0.437477177164764,0.42403997718062,0.457537975323933,0.446138741550305,0.45377705284571,0.467985403026056,0.444746199614187,0.452426936584812,0.439867651107651,0.447421526194702,0.405453805615868,0.391843616417789,0.459155105689665,0.45724815056843,0.469071766458728,0.468203195828935,0.421999975595211,0.395047241062624
NDAR_INVLXZ3RPWB,0.452557855153327,0.437403152662301,0.611009583621847,0.56889743265221,0.432584841398971,0.342963994270068,0.402230767386559,0.639039513163709,0.636125330009564,0.671026044055744,0.534546958751957,0.478288965124461,0.490170342673462,0.368881716388717,0.375020490782544,0.403116746051726,0.432786673285015,0.533480814048769,0.511353440083167,0.467422378179572,0.464607878176456,0.501483886963714,0.497904285918644,0.488969270068645,0.526860242996157,0.491163156730686,0.498311176960313,0.471434645526462,0.509204588260355,0.436586313041349,0.385350931496846,0.526456576744084,0.503517759914461,0.544201862250584,0.514984963504268,0.481478753324421,0.457714882726339
NDAR_INVLY0ZDHGV,0.386913364629837,0.364785805504899,0.620630560898562,0.522601707755566,0.44590683301639,0.403753629913187,0.377254541088259,0.606926261120206,0.621340350357934,0.680861446557982,0.569376729194402,0.471395825991888,0.467166631420519,0.347105202549837,0.351593065994566,0.404072266956317,0.382155258476644,0.477035770307029,0.484202170508874,0.49197897576532,0.465181273940478,0.508855107515738,0.511053378364558,0.492055793445634,0.520154750539453,0.476201921085153,0.483779782321632,0.471659305363544,0.502496319673549,0.421192567001238,0.388949484785855,0.5184625342466,0.487888115519677,0.53599327067179,0.498512445316361,0.478288443976703,0.431579516358044
NDAR_INVLZ0V0F16,0.407725308291943,0.390872622779218,0.594435908847821,0.50296564984568,0.534120983312904,0.357973822645735,0.35474366543097,0.593283254306658,0.5868124056665,0.651552798052591,0.507936567920185,0.449529055704046,0.428484598066945,0.384618933383911,0.299085971978481,0.391212159761257,0.372028353721481,0.509289614654485,0.497620144505224,0.475045854375248,0.453044532193836,0.507395514708916,0.490904067686729,0.501087553134918,0.480466300765618,0.473930475138892,0.473944872293412,0.466960630359853,0.455521025197619,0.395084400711458,0.382043725126201,0.496228559163577,0.475388158086445,0.51037203490349,0.48220081097897,0.437338102215159,0.410708899303898
NDAR_INVLZF5ZK83,0.449622956955781,0.421096855628886,0.595346249469081,0.560867689799237,0.484154225059948,0.336022972898878,0.385360116511275,0.622705769601052,0.618600711421298,0.663254517237003,0.544289165045914,0.465987010400656,0.463537987078652,0.368302313542856,0.373844966431867,0.406595519605524,0.424382970250898,0.521189100460955,0.519261468537078,0.4646876789534,0.471527908574654,0.517978391048462,0.528188837379811,0.492027211244771,0.498557471673415,0.526793275659166,0.538986203219871,0.467024611391237,0.479626646656819,0.450207229600237,0.412993599441151,0.553793581684824,0.541838188940065,0.567047713896613,0.542247313518439,0.517720933420355,0.479661698598487
NDAR_INVLZRHC6A5,0.419731518489337,0.407303096260939,0.588900334655819,0.52197757167257,0.42350848650003,0.371740737222867,0.392777249401406,0.619000243525544,0.624217841111537,0.632284037374066,0.512274239901109,0.449267826868758,0.477056294294107,0.325786922824157,0.345825343177533,0.409641365327376,0.401145516941148,0.516760543311915,0.506434404569712,0.452163158175224,0.466358623807788,0.526128430628555,0.499923026085645,0.507877726655325,0.536408302885811,0.480501054570868,0.494994383511184,0.469037403907305,0.505633514988756,0.404449682642036,0.367924444735893,0.5114250728631,0.493339999653798,0.524441983929718,0.48973685093477,0.409464874404231,0.400190704478166
NDAR_INVLZUEMGGJ,0.389456939239791,0.395144107348731,0.573429827710491,0.413867579937305,0.414570534522298,0.355891508134429,0.36411138844686,0.587048200771532,0.58842049200482,0.641940486633457,0.486528528609387,0.437220488074414,0.424616208673112,0.287694541391078,0.292457394910641,0.35821919207549,0.343934616251872,0.492189827670499,0.477076520735924,0.444165031002491,0.41723816100715,0.475303991656604,0.463973038594513,0.46741572385764,0.466757178476389,0.468147647196125,0.442790272486463,0.438039732178292,0.449552363214357,0.388956781846407,0.381673645734041,0.496101051471925,0.447946014067711,0.508961750919072,0.454091832517813,0.452517733349191,0.421580156569441
NDAR_INVM007MAX7,0.388309867421272,0.381010134522458,0.588775609010992,0.523263839062312,0.440039842378019,0.374777931423319,0.388927488038605,0.5682406375833,0.569900775546646,0.640194052185146,0.540487914502222,0.4223766740093,0.421871023685318,0.348559183807222,0.357905239920933,0.386727328790781,0.395788474661528,0.495582135484862,0.49107392988078,0.427528905500474,0.439212931569953,0.461621546425504,0.474620397560497,0.461783893749955,0.472810266381907,0.44642342608163,0.444699034416531,0.433230499554308,0.444987335952631,0.386520184077799,0.359702329600034,0.472450438013627,0.451067593111397,0.484549724236312,0.46332765778211,0.459046769103327,0.438958032281341
